annee;code_insee_region;production_hydraulique_renouvelable;production_bioenergies_renouvelable;production_eolienne_renouvelable;production_solaire_renouvelable;production_electrique_renouvelable;production_gaz_renouvelable;production_totale_renouvelable
2008;93;9088.2;107.3;88.0;2.2;9285.7;;9285.7
2009;11;45.0;649.6;;2.6;697.2;;697.2
2009;28;146.0;235.9;476.0;1.4;859.3;;859.3
2009;52;16.0;103.6;400.0;18.8;538.4;;538.4
2009;76;9862.9;376.1;1421.0;54.9;11714.9;;11714.9
2009;93;10218.2;148.6;110.0;29.1;10505.900000000001;;10505.900000000001
2010;27;877.4;74.7;141.0;19.6;1112.6999999999998;;1112.6999999999998
2010;84;26198.8;204.5;575.0;73.8;27052.1;;27052.1
2011;24;56.3;132.1;1216.4;53.3;1458.1000000000001;;1458.1000000000001
2011;27;639.3;81.6;154.1;58.3;933.3;;933.3
2011;52;11.3;133.6;703.6;187.5;1036.0;;1036.0
2012;24;118.0;142.8;1560.0;129.1;1949.8999999999999;;1949.8999999999999
2012;27;1050.4;89.7;271.0;102.2;1513.3000000000002;;1513.3000000000002
2012;28;152.0;265.9;948.8;83.7;1450.3999999999999;;1450.3999999999999
2012;94;336.0;7.8;27.9;101.3;473.0;;473.0
2013;24;171.4;233.6;1513.2;166.4;2084.6;;2084.6
2013;28;134.9;309.9;968.8;92.4;1506.0;;1506.0
2013;76;11961.5;508.1;2197.1;989.8;15656.5;;15656.5
2014;24;138.6;285.1;1626.3;198.0;2248.0;;2248.0
2014;28;155.6;301.6;1046.5;112.5;1616.2;;1616.2
2014;93;11053.9;380.8;105.9;1014.8;12555.399999999998;;12555.399999999998
2015;75;3082.2;1298.7;924.0;1817.0;7121.9;0.8;7122.7
2016;93;9169.1;677.6;108.6;1349.5;11304.800000000001;0.0;11304.800000000001
2016;94;471.3;9.2;32.9;156.6;670.0;0.0;670.0
2017;44;7391.0;657.4;5567.8;505.0;14121.2;74.2;14195.400000000001
2017;53;538.2;278.7;1545.5;206.9;2569.3;27.2;2596.5
2017;76;7872.5;571.9;3128.5;2076.4;13649.3;0.0;13649.3
2018;28;128.5;336.3;1517.8;150.1;2132.7;23.2;2155.8999999999996
2018;44;6795.7;746.7;6339.0;964.3;14845.699999999999;139.4;14985.099999999999
2018;52;19.2;318.0;1631.7;546.4;2515.3;68.2;2583.5
2018;93;10764.7;831.3;100.0;1624.3;13320.3;0.0;13320.3
2008;11;59.0;629.9;;0.7;689.6;;689.6
2008;53;535.9;58.5;548.0;1.1;1143.5;;1143.5
2008;75;4318.0;172.9;69.0;1.7;4561.599999999999;;4561.599999999999
2008;84;28161.3;150.2;404.0;5.7;28721.2;;28721.2
2009;32;5.0;264.2;1569.0;3.7;1841.9;;1841.9
2010;75;4122.0;702.1;220.0;68.6;5112.700000000001;;5112.700000000001
2010;93;11133.8;273.6;120.0;87.7;11615.1;;11615.1
2010;94;581.0;8.8;27.0;2.2;619.0;;619.0
2011;32;3.7;327.9;2473.8;47.5;2852.9;;2852.9
2011;53;509.8;74.6;1112.9;95.4;1792.7000000000003;;1792.7000000000003
2011;94;294.0;8.2;24.2;25.1;351.5;;351.5
2012;11;56.0;693.6;54.5;53.7;857.8000000000001;;857.8000000000001
2012;32;13.0;358.8;2764.3;104.4;3240.5000000000005;;3240.5000000000005
2012;75;3225.0;970.2;648.9;752.2;5596.299999999999;;5596.299999999999
2012;76;8921.1;468.6;2072.5;894.6;12356.800000000001;;12356.800000000001
2012;84;26869.1;299.0;777.9;438.2;28384.2;;28384.2
2013;44;8624.5;430.3;3688.5;409.6;13152.9;;13152.9
2013;53;479.8;159.1;1405.8;153.0;2197.7;;2197.7
2014;27;825.8;110.0;374.5;192.6;1502.8999999999999;;1502.8999999999999
2015;27;727.6;122.4;695.4;219.6;1765.0;3.0;1768.0
2015;28;117.0;313.9;1259.7;121.6;1812.1999999999998;0.0;1812.1999999999998
2015;53;531.9;229.9;1651.0;187.3;2600.1000000000004;1.4;2601.5000000000005
2015;76;9424.0;520.9;2318.0;1603.6;13866.5;0.0;13866.5
2015;93;8994.1;435.0;105.4;1206.3;10740.8;0.0;10740.8
2016;11;58.0;813.9;61.0;69.7;1002.6;43.2;1045.8
2016;28;131.0;307.4;1183.9;125.4;1747.7000000000003;0.0;1747.7000000000003
2017;11;58.7;847.9;91.7;74.5;1072.8000000000002;77.5;1150.3000000000002
2017;32;10.7;770.2;5774.4;130.4;6685.699999999999;68.6;6754.299999999999
2018;11;40.7;836.6;121.4;87.2;1085.9;155.8;1241.7
2018;24;141.6;407.3;2043.5;304.8;2897.2000000000003;33.4;2930.6000000000004
2018;32;12.8;791.9;7192.5;144.7;8141.9;78.8;8220.699999999999
2018;75;3891.1;1379.4;1737.0;2991.1;9998.6;63.8;10062.4
2018;94;640.7;8.6;13.2;184.4;846.9000000000001;0.0;846.9000000000001
2008;24;189.0;78.1;758.0;0.4;1025.5;;1025.5
2008;44;8488.2;207.0;984.0;0.9;9680.1;;9680.1
2008;76;10853.4;316.5;1103.0;7.0;12279.9;;12279.9
2008;94;500.0;;34.0;0.2;534.2;;534.2
2009;44;7848.8;222.6;1330.0;9.8;9411.2;;9411.2
2009;84;23865.7;186.0;559.0;15.6;24626.3;;24626.3
2010;28;136.0;223.3;578.0;10.8;948.0999999999999;;948.0999999999999
2010;76;10864.7;393.0;1757.0;114.3;13129.0;;13129.0
2011;75;2278.9;943.3;346.8;332.9;3901.9;;3901.9
2011;76;7740.1;439.4;1815.1;447.1;10441.7;;10441.7
2012;44;8743.4;252.6;3517.4;319.8;12833.199999999999;;12833.199999999999
2013;52;13.4;266.4;983.5;303.7;1567.0;;1567.0
2013;93;12394.3;332.1;116.0;813.5;13655.9;;13655.9
2014;11;52.2;818.5;37.9;66.0;974.6;;974.6
2014;44;7882.0;434.2;3975.7;458.3;12750.2;;12750.2
2014;52;23.6;281.9;1072.3;368.4;1746.1999999999998;;1746.1999999999998
2014;53;548.6;210.5;1396.4;177.4;2332.9;;2332.9
2014;76;11305.0;498.7;2191.0;1304.8;15299.5;;15299.5
2014;94;493.3;11.4;31.3;123.6;659.6;;659.6
2015;84;23723.6;591.8;799.0;784.3;25898.699999999997;0.0;25898.699999999997
2016;27;944.2;125.8;779.4;215.5;2064.9;23.9;2088.8
2016;84;25703.2;685.0;857.7;821.1;28067.0;6.9;28073.9
2017;28;126.2;315.6;1295.2;128.8;1865.8;0.0;1865.8
2017;52;10.7;309.4;1349.5;480.5;2150.1;17.5;2167.6
2017;94;382.8;8.3;22.4;182.5;596.0;0.0;596.0
2018;84;26967.5;761.7;1081.6;1036.4;29847.2;46.1;29893.3
2008;27;1000.5;47.8;64.0;1.1;1113.3999999999999;;1113.3999999999999
2008;28;149.0;338.0;301.0;0.2;788.2;;788.2
2008;52;19.0;63.3;255.0;3.9;341.2;;341.2
2009;27;670.4;47.7;119.0;4.2;841.3000000000001;;841.3000000000001
2009;75;3413.0;493.8;152.0;12.7;4071.5;;4071.5
2010;32;5.0;299.8;1889.0;18.2;2212.0;;2212.0
2010;44;8371.9;229.1;1819.0;43.1;10463.1;;10463.1
2010;52;16.0;112.5;602.0;61.0;791.5;;791.5
2010;53;540.1;65.2;906.0;29.2;1540.5000000000002;;1540.5000000000002
2011;11;44.9;677.4;13.9;27.5;763.6999999999999;;763.6999999999999
2011;84;19358.3;253.1;606.4;244.3;20462.1;;20462.1
2011;93;7915.7;288.5;92.5;338.7;8635.400000000001;;8635.400000000001
2012;93;9079.4;321.8;116.5;674.6;10192.3;;10192.3
2013;32;14.5;440.6;3262.5;106.8;3824.4;;3824.4
2014;75;4112.3;1086.8;820.4;1171.7;7191.2;;7191.2
2015;11;55.2;709.0;52.7;71.9;888.8000000000001;37.1;925.9000000000001
2015;32;13.2;713.9;4966.2;126.0;5819.3;15.4;5834.7
2015;52;18.4;277.5;1223.4;421.8;1941.1000000000001;6.0;1947.1000000000001
2016;24;128.1;330.2;1802.0;244.8;2505.1000000000004;9.3;2514.4000000000005
2016;75;3936.4;1291.2;924.1;2312.7;8464.400000000001;31.3;8495.7
2016;76;9990.4;572.2;2575.2;1848.9;14986.699999999999;0.0;14986.699999999999
2017;27;620.8;137.1;1101.6;235.1;2094.6;38.0;2132.6
2017;84;20740.2;668.2;1008.1;888.1;23304.6;35.3;23339.899999999998
2017;93;7911.3;896.6;117.6;1527.4;10452.9;0.0;10452.9
2018;76;12345.5;545.9;3251.9;2216.8;18360.1;7.5;18367.6
2008;32;6.0;243.5;955.0;0.7;1205.2;;1205.2
2009;24;96.0;83.7;961.0;1.5;1142.2;;1142.2
2009;53;511.4;59.7;730.0;7.2;1308.3;;1308.3
2009;94;483.0;6.3;30.0;0.3;519.5999999999999;;519.5999999999999
2010;11;52.0;638.6;;7.9;698.5;;698.5
2010;24;153.0;128.1;1094.0;10.4;1385.5;;1385.5
2011;28;111.0;259.7;829.5;39.1;1239.3;;1239.3
2011;44;6519.9;237.8;2685.8;171.9;9615.4;;9615.4
2012;52;16.0;172.1;885.0;277.8;1350.8999999999999;;1350.8999999999999
2012;53;510.7;86.1;1286.0;138.3;2021.1;;2021.1
2013;11;35.2;786.3;38.4;58.2;918.1;;918.1
2013;27;1062.8;91.9;288.3;150.4;1593.4;;1593.4
2013;75;4568.3;1065.9;714.1;830.0;7178.300000000001;;7178.300000000001
2013;84;30409.8;471.8;744.3;472.7;32098.6;;32098.6
2013;94;598.0;11.4;20.9;113.4;743.6999999999999;;743.6999999999999
2014;32;14.6;543.2;3642.8;117.6;4318.200000000001;;4318.200000000001
2014;84;25942.2;536.1;764.4;636.3;27879.0;;27879.0
2015;24;99.2;322.0;1927.6;234.3;2583.1;0.0;2583.1
2015;44;7176.9;512.4;5165.7;491.7;13346.7;18.0;13364.7
2015;94;347.4;10.2;24.2;147.6;529.4;0.0;529.4
2016;32;15.6;707.4;4942.5;148.0;5813.5;33.1;5846.6
2016;44;8219.3;622.4;4937.8;484.8;14264.3;49.8;14314.099999999999
2016;52;18.8;277.9;1262.0;441.0;1999.7;7.7;2007.4
2016;53;547.4;238.1;1479.4;196.6;2461.5;6.2;2467.7
2017;24;67.6;367.7;1889.1;266.7;2591.0999999999995;23.9;2614.9999999999995
2017;75;2843.5;1470.1;1231.1;2473.1;8017.800000000001;43.6;8061.4000000000015
2018;27;803.1;206.4;1310.8;291.7;2612.0;45.1;2657.1
2018;53;536.1;311.9;1803.7;225.5;2877.2;53.0;2930.2
2019;52;19.090336999999998;357.29451;1972.3708609999999;615.853198;2964.6089059999995;113.2;3077.8089059999993
2020;11;42.837822;762.4600350000002;265.679485;131.521774;1202.4991160000002;290.24;1492.7391160000002
2020;28;111.108613;394.515656;2045.7327610000002;202.174511;2753.5315410000003;142.22;2895.751541
2021;76;9237.1082357;515.9045305;3565.658166;3022.727841;16341.398773199999;156.0;16497.3987732
2021;93;8890.218527699999;598.9550795;200.993125;2136.6211639999997;11826.7878962;52.0;11878.7878962
2019;84;24687.4632897;759.6117575;1192.6914080000001;1251.639755;27891.4062102;67.5;27958.9062102
2019;27;862.1842222;229.30276949999998;1769.6797210000002;367.207311;3228.3740237;56.1;3284.4740237
2019;24;84.567592;401.509326;2587.6813119999997;348.814285;3422.5725149999994;107.0;3529.5725149999994
2019;11;61.830543000000006;785.8829655;185.145382;104.550264;1137.4091544999999;208.9;1346.3091545
2019;76;8796.970830600001;578.5080179999999;3751.3040370000003;2580.564977;15707.347862600001;21.0;15728.347862600001
2019;93;8703.4531901;668.4480884999999;103.74461500000001;1919.9132929999998;11395.559186599998;22.9;11418.459186599997
2020;27;704.0522685;308.821413;1943.3121770000002;385.066405;3341.2522635;85.49;3426.7422635
2020;94;499.85950999999994;6.432957;11.286938999999999;237.602678;755.1820839999999;;755.1820839999999
2020;52;21.717964999999996;395.73035250000004;2394.6244940000006;667.8121839999999;3479.8849955000005;189.39;3669.2749955000004
2020;93;11045.6181347;614.7065625000001;95.162709;1996.502401;13751.9898072;36.37;13788.3598072
2021;27;982.4970783;333.84722899999997;1921.326329;409.518161;3647.1887973;154.0;3801.1887973
2021;28;112.27965900000001;548.5285865;1790.025877;220.291724;2671.1258465;277.0;2948.1258465
2021;75;3941.102027;1309.775223;2755.26212;3829.9544720000004;11836.093841999998;448.0;12284.093841999998
2019;94;403.395393;7.343466;9.198621000000001;224.85083600000002;644.788316;;644.788316
2019;32;12.840438;825.2028949999999;8949.316336;166.077351;9953.43702;142.4;10095.837019999999
2019;75;3217.7285140000004;1448.7187500000002;1923.6616620000002;3311.428373999999;9901.5373;119.7;10021.2373
2020;32;12.871274999999999;828.2723024999999;11610.322830000001;173.06801100000004;12624.5344185;274.41;12898.9444185
2020;76;10318.764905499998;531.4146145;3640.8177860000005;2699.4407979999996;17190.438103999997;53.58;17244.018104
2021;11;65.25625799999999;812.0152765;273.86387299999996;153.75854700000002;1304.8939544999998;348.0;1652.8939544999998
2019;44;8081.2502815;874.3592560000001;7669.529691000001;998.5513299999999;17623.6905585;219.7;17843.3905585
2019;28;116.71938700000001;345.3343315;1775.125186;179.99045299999997;2417.1693575;35.1;2452.2693575
2020;53;567.1955533;365.09002950000007;2248.487939;264.116775;3444.8902968;230.59;3675.4802968000004
2021;32;16.890975;779.3035475;10252.27855;267.150099;11315.623171500001;733.0;12048.623171500001
2021;44;7966.5941077;1083.2709425;7658.03843;868.2091079999999;17576.112588199998;1053.0;18629.112588199998
2021;94;536.608138;4.089206000000001;11.979;256.118;808.7943440000001;;808.7943440000001
2019;53;546.0068929000001;335.55617750000005;1938.898663;250.89742299999997;3071.3591564000003;121.7;3193.0591564
2020;84;26709.010427999998;749.7377784999999;1150.594892;1367.5779120000002;29976.9210105;103.18;30080.1010105
2020;24;126.905226;408.67614949999995;3116.8565750000002;416.31315299999994;4068.7511035;159.9;4228.6511035
2020;44;7333.3423373;931.2503085000001;8780.90716;654.8777719999999;17700.377577799998;405.45;18105.8275778
2020;75;3625.279563000001;1367.0420664999997;2410.47217;3509.3226680000002;10912.1164675;236.84;11148.9564675
2021;24;129.19366899999997;415.19594350000006;2884.9081369999994;590.83326;4020.1310094999994;238.0;4258.131009499999
2021;52;24.051555;401.8131079999999;2270.7669910000004;773.677084;3470.308738;304.0;3774.308738
2021;53;550.6560013;387.43642000000006;1956.228406;286.61363900000003;3180.9344663;388.0;3568.9344663
2021;84;25899.874925199998;765.8660004999999;1300.2099640000001;1485.747054;29451.697943699997;187.0;29638.697943699997
